,id,range,range_red,Name,Lighthouse,Country,full_name,address,latitude,longitude
0,4388,7,4,Ackers Point,lighthouse,New Zealand,"Ackers Point lighthouse, New Zealand","Ackers Point, Ackers Point Track, Stewart Island / Rakiura Community, Southland District, Southland, 9818, New Zealand / Aotearoa",-46.8956037,168.1636248
1,4314,19,0,Akaroa Head,lighthouse,New Zealand,"Akaroa Head lighthouse, New Zealand","Akaroa Head, Akaroa, Banks Peninsula Community, Christchurch City, Canterbury, New Zealand / Aotearoa",-43.8899422,172.9790106
2,4237,4,0,Anatakupu Island,lighthouse,New Zealand,"Anatakupu Island lighthouse, New Zealand","Anatakupu Island, Marlborough, New Zealand / Aotearoa",-40.8965747,173.8691513565593
3,4004,14,0,Baring Head,lighthouse,New Zealand,"Baring Head lighthouse, New Zealand","Baring Head / Ōrua-pouanui, Lower Hutt City, Wellington, New Zealand / Aotearoa",-41.4082148,174.8706984
4,3993,9,0,Black Head,lighthouse,New Zealand,"Black Head lighthouse, New Zealand","Black Head, Mid-Coast Council, New South Wales, 2430, Australia",-40.21698224,176.78734710
5,3713,10,0,Bream Head,lighthouse,New Zealand,"Bream Head lighthouse, New Zealand","Bream Head, Whangarei District, Northland, New Zealand / Aotearoa",-35.8546301,174.5781988
6,4246,19,0,Brothers Island,lighthouse,New Zealand,"Brothers Island lighthouse, New Zealand","Brothers Island, Newfoundland, Newfoundland and Labrador, Canada",-41.103333,174.441667
7,4387,8,0,Bushy Point,lighthouse,New Zealand,"Bushy Point lighthouse, New Zealand","Bushy Point, Groton, Southeastern Connecticut Planning Region, United States",-46.606500,168.518000
8,3709,17,0,Cape Brett,lighthouse,New Zealand,"Cape Brett lighthouse, New Zealand","Cape Brett Lighthouse, Cape Brett Track, Rawhiti, Bay of Islands-Whangaroa Community, Far North District, Northland, New Zealand / Aotearoa",-35.1752574,174.3326209
9,4274,19,0,Cape Campbell,lighthouse,New Zealand,"Cape Campbell lighthouse, New Zealand","Cape Campbell, West New Britain, Islands Region, Papua Niugini",-41.727500,174.275333
