no,id,Name,Lighthouse,Country
61,K4388,Ackers Point,lighthouse,New Zealand
52,K4314,Akaroa Head,lighthouse,New Zealand
84,K4237,Anatakupu Island,lighthouse,New Zealand
46,K4004,Baring Head,lighthouse,New Zealand
42,K3993,Black Head,lighthouse,New Zealand
8,K3713,Bream Head,lighthouse,New Zealand
88,K4246,Brothers Island,lighthouse,New Zealand
60,K4387,Bushy Point,lighthouse,New Zealand
5,K3709,Cape Brett,lighthouse,New Zealand
48,K4274,Cape Campbell,lighthouse,New Zealand
90,K4088,Cape Egmont,lighthouse,New Zealand
74,K4486,Cape Foulwind,lighthouse,New Zealand
98,K4549,Cape Fournier,lighthouse,New Zealand
86,K4244,Cape Jackson,lighthouse,New Zealand
3,K3694,Cape KariKari,lighthouse,New Zealand
41,K3992,Cape Kidnappers,lighthouse,New Zealand
94,K3686,Cape Maria van Diemen,lighthouse,New Zealand
45,K4000,Cape Palliser,lighthouse,New Zealand
66,K4444,Cape Providence,lighthouse,New Zealand
1,K3688,Cape Reinga,lighthouse,New Zealand
11,K3736.6,Cape Rodney,lighthouse,New Zealand
34,K3929,Cape Runaway,lighthouse,New Zealand
55,K4376,Cape Saunders,lighthouse,New Zealand
43,K3994,Castle Point,lighthouse,New Zealand
63,K4438,Centre Island,lighthouse,New Zealand
28,K3882,Channel Island,lighthouse,New Zealand
9,K3714,Coppermine Island,lighthouse,New Zealand
24,K3878,Cow Islet,lighthouse,New Zealand
30,K3886,Cuvier Island,lighthouse,New Zealand
71,K4465,Deep Water Basin,lighthouse,New Zealand
62,K4394,Dog Island,lighthouse,New Zealand
36,K3932,East Cape,lighthouse,New Zealand
77,K4182,Farewell Spit,lighthouse,New Zealand
67,K4446,Five Fingers,lighthouse,New Zealand
14,K3738,Flat Rock,lighthouse,New Zealand
81,K4238,French Pass Channel Point,lighthouse,New Zealand
82,K4240,French Pass Reef,lighthouse,New Zealand
37,K3950,Gable End Foreland,lighthouse,New Zealand
73,K4468,Heretaniwha Point,lighthouse,New Zealand
44,K3998,Honeycomb,lighthouse,New Zealand
72,K4466,Jackson Head,lighthouse,New Zealand
75,K4506,Kahurangi Point,lighthouse,New Zealand
96,K4547,Kaingaroa ,lighthouse,New Zealand
54,K4360,Katiki Point,lighthouse,New Zealand
13,K3738.2,Kawati Point,lighthouse,New Zealand
64,K4440,Long Point,lighthouse,New Zealand
12,K3738.3,Maori Rock,lighthouse,New Zealand
19,K3742,Maria Island,lighthouse,New Zealand
15,K3738.6,Martello Rock,lighthouse,New Zealand
35,K3930,Matakaoa Point,lighthouse,New Zealand
26,K3736,Motuhaku Island,lighthouse,New Zealand
16,K3739,Motuketekete,lighthouse,New Zealand
85,K4242,Ninepin Rock,lighthouse,New Zealand
2,K3690,North Cape,lighthouse,New Zealand
56,K4380,Nugget Point,lighthouse,New Zealand
89,K4066.2,Ohau Point,lighthouse,New Zealand
32,K3892,Ohinau Island,lighthouse,New Zealand
80,K4234,Okuri Point,lighthouse,New Zealand
21,K3850.6,Passage Rock,lighthouse,New Zealand
92,K4122,Piha,lighthouse,New Zealand
76,K4180,Pillar Point,lighthouse,New Zealand
79,K4206,Pitt Head,lighthouse,New Zealand
97,K4541,Point Durham,lighthouse,New Zealand
50,K4279,Point Gibson,lighthouse,New Zealand
49,K4275,Point Kean,lighthouse,New Zealand
29,K3888,Port Charles,lighthouse,New Zealand
40,K3970,Portland Island,lighthouse,New Zealand
91,K4089,Puniho,lighthouse,New Zealand
20,K3846,Putiki Bay,lighthouse,New Zealand
65,K4442,Puysegur Point,lighthouse,New Zealand
22,K3852,Sandspit Passage,lighthouse,New Zealand
68,K4452,Secretary Island,lighthouse,New Zealand
78,K4204,Separation Point,lighthouse,New Zealand
33,K3896,Slipper Island,lighthouse,New Zealand
58,K4382,Slope Point,lighthouse,New Zealand
95,K4545,Somes Point,lighthouse,New Zealand
69,K4464,St Anne Point,lighthouse,New Zealand
51,K4310,Steep Head,lighthouse,New Zealand
83,K4236,Stephens Island,lighthouse,New Zealand
39,K3969,Table Cape,lighthouse,New Zealand
10,K3715,Taranga Island,lighthouse,New Zealand
93,K4153,Tauroa Point,lighthouse,New Zealand
57,K4381,Tautuku Peninsula,lighthouse,New Zealand
23,K3879,Te Kouma Head,lighthouse,New Zealand
18,K3740,Tiritiri Matangi,lighthouse,New Zealand
47,K4062.1,Tongue Point,lighthouse,New Zealand
27,K3736.2,Tryphena Point,lighthouse,New Zealand
38,K3954,Tuaheni Point,lighthouse,New Zealand
53,K4340,Tuhawaiki  Point,lighthouse,New Zealand
7,K3712,Tutukaka Head,lighthouse,New Zealand
59,K4384,Waipapa Point,lighthouse,New Zealand
