,no,id,Name,Lighthouse,Country,address,latitude,longitude
0,61,K4388,Ackers Point,lighthouse,New Zealand,"Ackers Point, Ackers Point Track, Stewart Island / Rakiura Community, Southland District, Southland, 9818, New Zealand / Aotearoa",-46.8956037,168.1636248
1,52,K4314,Akaroa Head,lighthouse,New Zealand,"Akaroa Head, Akaroa, Banks Peninsula Community, Christchurch City, Canterbury, New Zealand / Aotearoa",-43.8899422,172.9790106
2,84,K4237,Anatakupu Island,lighthouse,New Zealand,"Anatakupu Island, Marlborough, New Zealand / Aotearoa",-40.8965747,173.8691513565593
3,46,K4004,Baring Head,lighthouse,New Zealand,"Baring Head / Ōrua-pouanui, Lower Hutt City, Wellington, New Zealand / Aotearoa",-41.4082148,174.8706984
4,42,K3993,Black Head,lighthouse,New Zealand,"Black Head, Mid-Coast Council, New South Wales, 2430, Australia",-32.0708319,152.543087
5,8,K3713,Bream Head,lighthouse,New Zealand,"Bream Head, Whangarei District, Northland, New Zealand / Aotearoa",-35.8546301,174.5781988
6,88,K4246,Brothers Island,lighthouse,New Zealand,"Brothers Island, Newfoundland, Newfoundland and Labrador, Canada",49.536143100000004,-54.2741414854888
7,60,K4387,Bushy Point,lighthouse,New Zealand,"Bushy Point, Groton, Southeastern Connecticut Planning Region, Connecticut, United States",41.31723505,-72.05197741842848
8,5,K3709,Cape Brett,lighthouse,New Zealand,"Cape Brett Lighthouse, Cape Brett Track, Rawhiti, Bay of Islands-Whangaroa Community, Far North District, Northland, New Zealand / Aotearoa",-35.1752574,174.3326209
9,48,K4274,Cape Campbell,lighthouse,New Zealand,"Cape Campbell, West New Britain, Islands Region, Papua Niugini",-5.056627,150.1916826
10,90,K4088,Cape Egmont,lighthouse,New Zealand,"Cape Egmont, South Taranaki District, Taranaki, New Zealand / Aotearoa",-39.278619,173.7515673
11,74,K4486,Cape Foulwind,lighthouse,New Zealand,"Cape Foulwind, Buller District, West Coast, New Zealand / Aotearoa",-41.7495255,171.4819422
12,98,K4549,Cape Fournier,lighthouse,New Zealand,"Cape Fournier, Chatham Islands, New Zealand / Aotearoa",-44.0490161,-176.331229
13,86,K4244,Cape Jackson,lighthouse,New Zealand,"Cape Jackson, Marlborough, New Zealand / Aotearoa",-40.9938291,174.3150978
14,3,K3694,Cape KariKari,lighthouse,New Zealand,"Cape Karikari / Cape Whakapouaka, Te Hiku Community, Far North District, Northland, New Zealand / Aotearoa",-34.7814316,173.3962855
15,41,K3992,Cape Kidnappers,lighthouse,New Zealand,"Cape Kidnappers, Cape Kidnappers track, Hawke's Bay, 4180, New Zealand / Aotearoa",-39.6451934,177.0915748
16,94,K3686,Cape Maria van Diemen,lighthouse,New Zealand,"Cape Maria van Diemen, Te Hiku Community, Far North District, Northland, New Zealand / Aotearoa",-34.4758521,172.6431076
17,45,K4000,Cape Palliser,lighthouse,New Zealand,"Matakitakiakupe / Cape Palliser, Martinborough Community, South Wairarapa District, Wellington, New Zealand / Aotearoa",-41.6127164,175.2734151
18,66,K4444,Cape Providence,lighthouse,New Zealand,"Cape Providence, Tuatapere Te Waewae Community, Southland District, Southland, New Zealand / Aotearoa",-46.0122559,166.4720019
19,1,K3688,Cape Reinga,lighthouse,New Zealand,"Cape Reinga, Cape Reinga Coastal Walkway / Te Araroa Trail, Te Hiku Community, Far North District, Northland, New Zealand / Aotearoa",-34.4265787,172.6774681
20,11,K3736.6,Cape Rodney,lighthouse,New Zealand,"Cape Rodney, Rodney, Auckland, New Zealand / Aotearoa",-36.2776455,174.8221404
21,34,K3929,Cape Runaway,lighthouse,New Zealand,"Cape Runaway, Ōpōtiki District, Bay of Plenty, New Zealand / Aotearoa",-37.5373501,177.9812397
22,55,K4376,Cape Saunders,lighthouse,New Zealand,"Cape Saunders, Dunedin City, Otago, New Zealand / Aotearoa",-45.8774924,170.7387382
23,43,K3994,Castle Point,lighthouse,New Zealand,"Castle Point, Essex, England, United Kingdom",51.54450755,0.5840084067307691
24,63,K4438,Centre Island,lighthouse,New Zealand,"Village of Centre Island, Town of Oyster Bay, Nassau County, New York, United States",40.9017651,-73.5198453
25,28,K3882,Channel Island,lighthouse,New Zealand,"Channel Island, Sunshine Coast Regional, Queensland, 4564, Australia",-26.6420087,153.0928111
26,9,K3714,Coppermine Island,lighthouse,New Zealand,"Coppermine Island, Northland, New Zealand / Aotearoa",-35.889440699999994,174.76896266295614
27,24,K3878,Cow Islet,lighthouse,New Zealand,"Cow Islet, ရန်ကုန်တိုင်းဒေသကြီး, မြန်မာ",14.93286995,93.6499057278838
28,30,K3886,Cuvier Island,lighthouse,New Zealand,"Cuvier Island (Repanga Island), Waikato, New Zealand / Aotearoa",-36.4354332,175.76971120837982
29,71,K4465,Deep Water Basin,lighthouse,New Zealand,"Annapolis Basin, Karsdale, Digby Municipal District, Municipality of the County of Annapolis, Annapolis County, Nova Scotia, B0S 1A0, Canada",44.6836296,-65.653547374118
30,62,K4394,Dog Island,lighthouse,New Zealand,"Dog Island, Brooksville, Hancock County, Maine, United States",44.32006895,-68.76955278582659
